Stream;Reach;Campaign;Coarse_detritus_stock_g/m2;Fine_detritus_g/m2;Biofilm_mg/m2
Deba;Control;Jun'17;1.207222222;0;NA
Deba;Control;Jun'17;0.741;0;NA
Deba;Control;Jun'17;5.682888889;0;NA
Deba;Control;Jun'17;3.373444444;0;NA
Deba;Control;Jun'17;0.048555556;0;NA
Deba;Control;Jun'17;0.012444444;0;NA
Deba;Control;Jun'17;7.425;57.1500063;NA
Deba;Control;Jun'17;3.659111111;136.6400151;NA
Deba;Control;Jun'17;1.901555556;35.51625392;NA
Deba;Diverted;Jun'17;1.693666667;75.61250834;NA
Deba;Diverted;Jun'17;0;45.70500504;NA
Deba;Diverted;Jun'17;4.385555556;29.0087532;NA
Deba;Diverted;Jun'17;0;22.80000251;NA
Deba;Diverted;Jun'17;0.082222222;57.34000632;NA
Deba;Diverted;Jun'17;3.261777778;44.98250496;NA
Deba;Diverted;Jun'17;0.857777778;33.97875375;NA
Deba;Diverted;Jun'17;53.87544444;9.270001022;NA
Deba;Diverted;Jun'17;0.888666667;71.42500788;NA
Kadagua;Control;Jun'17;0.404555556;13.99125154;NA
Kadagua;Control;Jun'17;0.036555556;29.64000327;NA
Kadagua;Control;Jun'17;0.043777778;22.79375251;NA
Kadagua;Control;Jun'17;0;35.3675039;NA
Kadagua;Control;Jun'17;1.636222222;46.46250512;NA
Kadagua;Control;Jun'17;3.099888889;14.92500165;NA
Kadagua;Control;Jun'17;0.233555556;10.51625116;NA
Kadagua;Control;Jun'17;0.404;22.33875246;NA
Kadagua;Control;Jun'17;1.505777778;72.96000805;NA
Kadagua;Diverted;Jun'17;0.709444444;14.87250164;NA
Kadagua;Diverted;Jun'17;0.165333333;12.38875137;NA
Kadagua;Diverted;Jun'17;0.497666667;56.62000624;NA
Kadagua;Diverted;Jun'17;0.702777778;72.82500803;NA
Kadagua;Diverted;Jun'17;0;160.8000177;NA
Kadagua;Diverted;Jun'17;0.079;29.47375325;NA
Kadagua;Diverted;Jun'17;0.905444444;129.9100143;NA
Kadagua;Diverted;Jun'17;1.084777778;19.18125212;NA
Kadagua;Diverted;Jun'17;0.243666667;300.1200331;NA
Leitzaran;Control;Jun'17;6.587111111;67.26667408;NA
Leitzaran;Control;Jun'17;4.155888889;28.84000318;NA
Leitzaran;Control;Jun'17;6.268444444;46.66000515;NA
Leitzaran;Control;Jun'17;34.86722222;52.69000581;NA
Leitzaran;Control;Jun'17;24.53877778;77.90000859;NA
Leitzaran;Control;Jun'17;39.25288889;84.10667594;NA
Leitzaran;Control;Jun'17;31.72444444;51.63750569;NA
Leitzaran;Control;Jun'17;1.925222222;9.880001089;NA
Leitzaran;Control;Jun'17;18.28055556;46.42500512;NA
Leitzaran;Diverted;Jun'17;1.284888889;44.10000486;NA
Leitzaran;Diverted;Jun'17;14.61933333;102.0000112;NA
Leitzaran;Diverted;Jun'17;23.54133333;41.44500457;NA
Leitzaran;Diverted;Jun'17;8.916444444;51.03000563;NA
Leitzaran;Diverted;Jun'17;27.09877778;49.8400055;NA
Leitzaran;Diverted;Jun'17;15.09533333;17.91700198;NA
Leitzaran;Diverted;Jun'17;0.992111111;34.52000381;NA
Leitzaran;Diverted;Jun'17;27.74811111;52.17500575;NA
Leitzaran;Diverted;Jun'17;0.931777778;57.36667299;NA
Urumea;Control;Jun'17;1.941;10.41000115;NA
Urumea;Control;Jun'17;2.865777778;12.98250143;NA
Urumea;Control;Jun'17;7.773;12.28500135;NA
Urumea;Control;Jun'17;31.81522222;40.8200045;NA
Urumea;Control;Jun'17;13.93544444;23.63000261;NA
Urumea;Control;Jun'17;7.603444444;15.18000167;NA
Urumea;Control;Jun'17;5.174222222;14.02500155;NA
Urumea;Control;Jun'17;1.303888889;6.100000673;NA
Urumea;Control;Jun'17;1.201111111;18.20000201;NA
Urumea;Diverted;Jun'17;236.8907891;11.13000123;NA
Urumea;Diverted;Jun'17;4.966222222;16.72000184;NA
Urumea;Diverted;Jun'17;4.016222222;0.440000049;NA
Urumea;Diverted;Jun'17;0;118.267513;NA
Urumea;Diverted;Jun'17;0.662777778;1.757500194;NA
Urumea;Diverted;Jun'17;4.260666667;8.281250913;NA
Urumea;Diverted;Jun'17;115.6443333;38.68125427;NA
Urumea;Diverted;Jun'17;1.811444444;6.267500691;NA
Urumea;Diverted;Jun'17;1.002777778;61.95000683;NA
Deba;Control;Jun'18;NA;NA;34.4
Deba;Control;Jun'18;NA;NA;25.4
Deba;Control;Jun'18;NA;NA;10.5
Deba;Control;Jun'18;NA;NA;14.5
Deba;Control;Jun'18;NA;NA;26.4
Deba;Control;Jun'18;NA;NA;19.5
Deba;Control;Jun'18;NA;NA;2.4
Deba;Control;Jun'18;NA;NA;17.5
Deba;Control;Jun'18;NA;NA;24.8
Deba;Control;Jun'18;55.095;NA;91.8
Deba;Control;Jun'18;18.23;NA;6.1
Deba;Control;Jun'18;36.141;NA;18.7
Deba;Control;Jun'18;16.924;NA;56
Deba;Control;Jun'18;15.423;NA;23
Deba;Control;Jun'18;16.738;NA;7.6
Deba;Control;Jun'18;33.422;NA;16
Deba;Control;Jun'18;34.165;NA;89.8
Deba;Control;Jun'18;43.861;NA;3.3
Deba;Diverted;Jun'18;NA;NA;22.2
Deba;Diverted;Jun'18;NA;NA;29.1
Deba;Diverted;Jun'18;NA;NA;13
Deba;Diverted;Jun'18;NA;NA;32.9
Deba;Diverted;Jun'18;NA;NA;39.2
Deba;Diverted;Jun'18;NA;NA;27.7
Deba;Diverted;Jun'18;NA;NA;28.7
Deba;Diverted;Jun'18;NA;NA;0.5
Deba;Diverted;Jun'18;NA;NA;16.5
Deba;Diverted;Jun'18;7.304;NA;49.5
Deba;Diverted;Jun'18;9.17;NA;38
Deba;Diverted;Jun'18;8.981;NA;15.2
Deba;Diverted;Jun'18;13.103;NA;35.4
Deba;Diverted;Jun'18;6.119;NA;38.5
Deba;Diverted;Jun'18;0.836;NA;6.4
Deba;Diverted;Jun'18;28.354;NA;24.6
Deba;Diverted;Jun'18;4.217;NA;9.2
Deba;Diverted;Jun'18;6.037;NA;10.1
Kadagua;Control;Jun'18;NA;NA;49.5
Kadagua;Control;Jun'18;NA;NA;49.6
Kadagua;Control;Jun'18;NA;NA;41.4
Kadagua;Control;Jun'18;NA;NA;52.7
Kadagua;Control;Jun'18;NA;NA;33
Kadagua;Control;Jun'18;NA;NA;54.4
Kadagua;Control;Jun'18;NA;NA;53.2
Kadagua;Control;Jun'18;NA;NA;46.6
Kadagua;Control;Jun'18;NA;NA;51.3
Kadagua;Control;Jun'18;3.823;NA;61.4
Kadagua;Control;Jun'18;0.052;NA;51.3
Kadagua;Control;Jun'18;4.134;NA;0.9
Kadagua;Control;Jun'18;31.26;NA;61.6
Kadagua;Control;Jun'18;0.114;NA;37.1
Kadagua;Control;Jun'18;42.576;NA;57.1
Kadagua;Control;Jun'18;3.276;NA;39.4
Kadagua;Control;Jun'18;10.297;NA;60.5
Kadagua;Control;Jun'18;9.021;NA;35.9
Kadagua;Diverted;Jun'18;NA;NA;45.3
Kadagua;Diverted;Jun'18;NA;NA;39.9
Kadagua;Diverted;Jun'18;NA;NA;43.3
Kadagua;Diverted;Jun'18;NA;NA;34.8
Kadagua;Diverted;Jun'18;NA;NA;37.1
Kadagua;Diverted;Jun'18;NA;NA;44.3
Kadagua;Diverted;Jun'18;NA;NA;42.2
Kadagua;Diverted;Jun'18;NA;NA;50.4
Kadagua;Diverted;Jun'18;NA;NA;62.2
Kadagua;Diverted;Jun'18;3.062;NA;39.9
Kadagua;Diverted;Jun'18;0.799;NA;45.4
Kadagua;Diverted;Jun'18;0.308;NA;46.5
Kadagua;Diverted;Jun'18;2.218;NA;46.1
Kadagua;Diverted;Jun'18;1.885;NA;51.6
Kadagua;Diverted;Jun'18;0.657;NA;34.3
Kadagua;Diverted;Jun'18;0.342;NA;58.3
Kadagua;Diverted;Jun'18;0.22;NA;81.1
Kadagua;Diverted;Jun'18;0.465;NA;44.2
Leitzaran;Control;Jun'18;NA;NA;2.2
Leitzaran;Control;Jun'18;NA;NA;16.6
Leitzaran;Control;Jun'18;NA;NA;22
Leitzaran;Control;Jun'18;NA;NA;1.2
Leitzaran;Control;Jun'18;NA;NA;13.3
Leitzaran;Control;Jun'18;NA;NA;23.2
Leitzaran;Control;Jun'18;NA;NA;18.2
Leitzaran;Control;Jun'18;NA;NA;7.4
Leitzaran;Control;Jun'18;NA;NA;39.1
Leitzaran;Control;Jun'18;9.297;NA;36.1
Leitzaran;Control;Jun'18;31.898;NA;25
Leitzaran;Control;Jun'18;5.965;NA;21.8
Leitzaran;Control;Jun'18;12.9;NA;24.3
Leitzaran;Control;Jun'18;27.089;NA;56
Leitzaran;Control;Jun'18;25.818;NA;15.9
Leitzaran;Control;Jun'18;24.81;NA;38.5
Leitzaran;Control;Jun'18;13.844;NA;48.3
Leitzaran;Control;Jun'18;8.881;NA;0.2
Leitzaran;Diverted;Jun'18;NA;NA;18.6
Leitzaran;Diverted;Jun'18;NA;NA;3.2
Leitzaran;Diverted;Jun'18;NA;NA;9.6
Leitzaran;Diverted;Jun'18;NA;NA;25.9
Leitzaran;Diverted;Jun'18;NA;NA;12
Leitzaran;Diverted;Jun'18;NA;NA;76
Leitzaran;Diverted;Jun'18;NA;NA;30.4
Leitzaran;Diverted;Jun'18;NA;NA;11.2
Leitzaran;Diverted;Jun'18;NA;NA;22.7
Leitzaran;Diverted;Jun'18;3.694;NA;28.4
Leitzaran;Diverted;Jun'18;1.645;NA;21
Leitzaran;Diverted;Jun'18;5.717;NA;2.3
Leitzaran;Diverted;Jun'18;11.63;NA;75.9
Leitzaran;Diverted;Jun'18;42.217;NA;100.7
Leitzaran;Diverted;Jun'18;4.159;NA;61.9
Leitzaran;Diverted;Jun'18;2.818;NA;57.5
Leitzaran;Diverted;Jun'18;2.649;NA;31.6
Leitzaran;Diverted;Jun'18;1.083;NA;15
Urumea;Control;Jun'18;NA;NA;3.4
Urumea;Control;Jun'18;NA;NA;0.3
Urumea;Control;Jun'18;NA;NA;0.2
Urumea;Control;Jun'18;NA;NA;11.5
Urumea;Control;Jun'18;NA;NA;12.1
Urumea;Control;Jun'18;NA;NA;11.5
Urumea;Control;Jun'18;NA;NA;15.3
Urumea;Control;Jun'18;NA;NA;12.4
Urumea;Control;Jun'18;NA;NA;15.8
Urumea;Control;Jun'18;3.243;NA;0.2
Urumea;Control;Jun'18;3.871;NA;19.4
Urumea;Control;Jun'18;0.271;NA;6.5
Urumea;Control;Jun'18;6.651;NA;10.6
Urumea;Control;Jun'18;3.461;NA;13.8
Urumea;Control;Jun'18;4.076;NA;9
Urumea;Control;Jun'18;2.625;NA;21.9
Urumea;Control;Jun'18;0.097;NA;14.6
Urumea;Control;Jun'18;12.741;NA;16
Urumea;Diverted;Jun'18;NA;NA;0.1
Urumea;Diverted;Jun'18;NA;NA;9.8
Urumea;Diverted;Jun'18;NA;NA;6.9
Urumea;Diverted;Jun'18;NA;NA;3.7
Urumea;Diverted;Jun'18;NA;NA;11.1
Urumea;Diverted;Jun'18;NA;NA;0.2
Urumea;Diverted;Jun'18;NA;NA;3.5
Urumea;Diverted;Jun'18;NA;NA;8.4
Urumea;Diverted;Jun'18;NA;NA;15
Urumea;Diverted;Jun'18;5.097;NA;7.9
Urumea;Diverted;Jun'18;4.504;NA;4.5
Urumea;Diverted;Jun'18;3.209;NA;0.4
Urumea;Diverted;Jun'18;50.767;NA;2.9
Urumea;Diverted;Jun'18;3.382;NA;14.5
Urumea;Diverted;Jun'18;1.988;NA;8.7
Urumea;Diverted;Jun'18;0.747;NA;13.9
Urumea;Diverted;Jun'18;0.112;NA;10.8
Urumea;Diverted;Jun'18;1.514;NA;6.5
Deba;Control;Oct'17;8.320222222;29.57103;NA
Deba;Control;Oct'17;20.38633333;12.86969;NA
Deba;Control;Oct'17;3.222222222;40.04902;NA
Deba;Control;Oct'17;7.459333333;22.99944;NA
Deba;Control;Oct'17;6.736777778;14.76789;NA
Deba;Control;Oct'17;2.447333333;23.98641;NA
Deba;Control;Oct'17;26.61533333;24.22691;NA
Deba;Control;Oct'17;78.29177778;11.31872;NA
Deba;Control;Oct'17;20.97166667;52.43772;NA
Deba;Diverted;Oct'17;2.885555556;17.32958;NA
Deba;Diverted;Oct'17;0.134444444;14.4109;NA
Deba;Diverted;Oct'17;3.973333333;55.16365;NA
Deba;Diverted;Oct'17;0.334333333;39.87653;NA
Deba;Diverted;Oct'17;0.040666667;6.09535;NA
Deba;Diverted;Oct'17;24.77344444;33.54668;NA
Deba;Diverted;Oct'17;6.914666667;45.98888;NA
Deba;Diverted;Oct'17;1.569666667;71.20401;NA
Deba;Diverted;Oct'17;36.48766667;25.31672;NA
Kadagua;Control;Oct'17;0.943333333;20.19951;NA
Kadagua;Control;Oct'17;6.829111111;20.96199;NA
Kadagua;Control;Oct'17;2.429333333;44.21142;NA
Kadagua;Control;Oct'17;1.004555556;17.73623;NA
Kadagua;Control;Oct'17;5.457666667;22.21279;NA
Kadagua;Control;Oct'17;2.531888889;7.87981;NA
Kadagua;Control;Oct'17;6.769555556;8.1398;NA
Kadagua;Control;Oct'17;0.043666667;23.55693;NA
Kadagua;Control;Oct'17;0.509;14.21165;NA
Kadagua;Diverted;Oct'17;0.995222222;52.26539;NA
Kadagua;Diverted;Oct'17;2.468444444;92.49374;NA
Kadagua;Diverted;Oct'17;0.245333333;24.79939;NA
Kadagua;Diverted;Oct'17;NA;179.61228;NA
Kadagua;Diverted;Oct'17;0.586333333;13.37667;NA
Kadagua;Diverted;Oct'17;NA;54.53267;NA
Kadagua;Diverted;Oct'17;0.629777778;24.88439;NA
Kadagua;Diverted;Oct'17;3.038444444;64.51509;NA
Kadagua;Diverted;Oct'17;0.546666667;23.48718;NA
Leitzaran;Control;Oct'17;15.43233333;71.11826;NA
Leitzaran;Control;Oct'17;20.88211111;35.09914;NA
Leitzaran;Control;Oct'17;47.49822222;107.39738;NA
Leitzaran;Control;Oct'17;30.92644444;38.75905;NA
Leitzaran;Control;Oct'17;36.282;32.6392;NA
Leitzaran;Control;Oct'17;25.29233333;15.45212;NA
Leitzaran;Control;Oct'17;11.36588889;27.96598;NA
Leitzaran;Control;Oct'17;12.01355556;15.87961;NA
Leitzaran;Control;Oct'17;37.75522222;17.21291;NA
Leitzaran;Diverted;Oct'17;9.532;19.43953;NA
Leitzaran;Diverted;Oct'17;5.145555556;18.12456;NA
Leitzaran;Diverted;Oct'17;8.605333333;47.13885;NA
Leitzaran;Diverted;Oct'17;11.61911111;15.54629;NA
Leitzaran;Diverted;Oct'17;34.047;18.45955;NA
Leitzaran;Diverted;Oct'17;4.369777778;36.53244;NA
Leitzaran;Diverted;Oct'17;5.370333333;82.028;NA
Leitzaran;Diverted;Oct'17;5.507111111;37.39909;NA
Leitzaran;Diverted;Oct'17;7.067055556;42.17897;NA
Urumea;Control;Oct'17;13.311;41.57399;NA
Urumea;Control;Oct'17;18.46677778;23.65142;NA
Urumea;Control;Oct'17;6.469333333;22.64995;NA
Urumea;Control;Oct'17;23.93677778;29.63928;NA
Urumea;Control;Oct'17;6.524888889;45.75488;NA
Urumea;Control;Oct'17;24.98444444;9.30977;NA
Urumea;Control;Oct'17;14.56844444;25.93187;NA
Urumea;Control;Oct'17;26.18977778;42.93895;NA
Urumea;Control;Oct'17;15.09211111;34.9259;NA
Urumea;Diverted;Oct'17;1.123111111;7.85314;NA
Urumea;Diverted;Oct'17;0.415666667;7.83981;NA
Urumea;Diverted;Oct'17;1.255777778;12.73019;NA
Urumea;Diverted;Oct'17;1.737111111;20.83699;NA
Urumea;Diverted;Oct'17;2.696333333;15.08338;NA
Urumea;Diverted;Oct'17;6.661444444;10.38725;NA
Urumea;Diverted;Oct'17;7.959333333;5.13487;NA
Urumea;Diverted;Oct'17;2.282;25.20472;NA
Urumea;Diverted;Oct'17;0.033433333;12.71219;NA
